"","observed_on","year","prism_tmin","prism_tmax","Month","Day","yday","Latitude","id","local_hour","hour_temperature","color","colorid","season"
"72","2016-09-11",2016,20.4882477929072,31.926088181753,9,12,255,30,4086557,13,31.7187716521585,"green",1,"Non-Breeding season"
"73","2016-09-11",2016,20.4882477929072,31.926088181753,9,12,255,30,4087174,15,31.7187716521585,"brown",0,"Non-Breeding season"
"74","2016-09-13",2016,20.4882477929072,31.926088181753,9,14,257,30,4106039,14,31.926088181753,"brown",0,"Non-Breeding season"
"75","2016-08-26",2016,22.7546522593512,33.3742157539713,8,27,239,30,4137057,18,30.5831440336546,"green",1,"Breeding season"
"76","2016-09-23",2016,20.4882477929072,31.926088181753,9,24,267,30,4201180,10,28.6221931184105,"green",1,"Non-Breeding season"
"77","2016-10-07",2016,15.0308430285961,28.7739512041553,10,8,281,30,4292151,2,15.0308430285961,"green",1,"Non-Breeding season"
"78","2016-10-15",2016,15.0308430285961,28.7739512041553,10,16,289,30,4375299,16,27.6549300636271,"green",1,"Non-Breeding season"
"79","2016-05-10",2016,16.7393212713682,27.1672577821528,5,11,131,30,4380022,2,16.7393212713682,"green",1,"Breeding season"
"80","2016-11-12",2016,11.068260440961,22.8245937794815,11,13,317,30,4718289,13,22.5576739905952,"brown",0,"Non-Breeding season"
"81","2016-12-13",2016,5.54388859578958,15.8254412032099,12,14,348,30,4769206,15,15.576147289633,"brown",0,"Non-Breeding season"
"82","2016-12-13",2016,5.54388859578958,15.8254412032099,12,14,348,30,4770638,19,10.3636869037584,"brown",0,"Non-Breeding season"
"83","2017-02-12",2017,8.4158398014598,22.2625467383392,2,12,43,30,5106836,11,19.6293196191159,"brown",0,"Non-Breeding season"
"84","2017-02-19",2017,8.4158398014598,22.2625467383392,2,19,50,30,5139949,13,21.9689065155901,"brown",0,"Non-Breeding season"
"85","2017-02-25",2017,8.4158398014598,22.2625467383392,2,25,56,30,5176988,12,21.1260791528869,"brown",0,"Non-Breeding season"
"86","2017-03-02",2017,11.8746387452535,23.9427804324572,3,2,61,30,5240358,11,21.79279406364,"brown",0,"Non-Breeding season"
"87","2017-03-27",2017,11.8746387452535,23.9427804324572,3,27,86,30,5534655,16,23.0578057836464,"brown",0,"Non-Breeding season"
"88","2017-03-11",2017,11.8746387452535,23.9427804324572,3,11,70,30,5554115,11,21.8635830699795,"green",1,"Non-Breeding season"
"89","2017-04-14",2017,13.1845393915306,26.2676978259841,4,14,104,30,5694316,13,26.0406836004987,"brown",0,"Breeding season"
"90","2017-04-14",2017,13.1845393915306,26.2676978259841,4,14,104,30,5714318,16,25.3675190612418,"brown",0,"Breeding season"
"91","2017-04-15",2017,13.1845393915306,26.2676978259841,4,15,105,30,5718358,2,13.1845393915306,"brown",0,"Breeding season"
"92","2017-04-14",2017,13.1845393915306,26.2676978259841,4,14,104,30,5721548,18,22.7908552726567,"green",1,"Breeding season"
"93","2017-04-15",2017,13.1845393915306,26.2676978259841,4,15,105,30,5749661,22,16.6574095537399,"green",1,"Breeding season"
"94","2017-04-16",2017,13.1845393915306,26.2676978259841,4,16,106,30,5771315,12,25.3735591402472,"green",1,"Breeding season"
"95","2017-04-16",2017,13.1845393915306,26.2676978259841,4,16,106,30,5772160,15,26.0422201924012,"green",1,"Breeding season"
"96","2017-04-16",2017,13.1845393915306,26.2676978259841,4,16,106,30,5772161,15,26.0422201924012,"green",1,"Breeding season"
"97","2017-04-16",2017,13.1845393915306,26.2676978259841,4,16,106,30,5778004,20,18.7147426710292,"green",1,"Breeding season"
"98","2017-04-17",2017,13.1845393915306,26.2676978259841,4,17,107,30,5793615,14,26.2676978259841,"brown",0,"Breeding season"
"99","2017-04-14",2017,13.1845393915306,26.2676978259841,4,14,104,31,6122357,11,24.2785572774328,"green",1,"Breeding season"
"100","2017-05-06",2017,15.7760332304894,28.7540014604482,5,6,126,30,6124886,13,28.5438208503175,"green",1,"Breeding season"
"101","2017-04-23",2017,13.1845393915306,26.2676978259841,4,23,113,30,6158116,14,26.2676978259841,"brown",0,"Breeding season"
"102","2017-05-18",2017,15.7760332304894,28.7540014604482,5,18,138,30,6277092,16,27.9449312106014,"green",1,"Breeding season"
"103","2017-05-20",2017,15.7760332304894,28.7540014604482,5,20,140,30,6294090,19,23.7933895280335,"green",1,"Breeding season"
