id,datetime,local_hour,county,scientific_name,hour_temperature,color,latitude.x,longitude.x,colorid,weeks,month,Season
10365185,2018-03-06 10:34:18 -0600,11,harris,Anolis carolinensis,23.23698173155796,green,29.76478,-95.45237,1,10,3,summer excluded
103711181,2021-12-26 02:22:32 -0600,3,nueces,Anolis carolinensis,16.331827832564116,brown,27.6472856478,-97.3334115555,0,52,12,summer excluded
103715890,2021-12-18 12:20:47 -0500,12,broward,Anolis carolinensis,27.09498371011232,green,26.2162000556,-80.2523324167,1,51,12,summer excluded
103739513,2020-09-10 12:30:12 -0400,12,orange,Anolis carolinensis,31.863495716658438,brown,28.4933333333,-81.4063883333,0,37,9,summer excluded
103778165,2021-12-26 11:28:34 -0500,11,broward,Anolis carolinensis,24.437569789280218,green,26.2673916667,-80.1883383333,1,52,12,summer excluded
103779820,2021-12-27 16:26:14 -0500,16,miamidade,Anolis carolinensis,25.882994595345764,brown,25.9604166667,-80.1285388333,0,52,12,summer excluded
103846102,2021-11-14 10:20:48 -0600,11,jefferson,Anolis carolinensis,9.63033048901561,brown,33.5057868958,-86.7812957764,0,46,11,summer excluded
103849069,2021-12-28 17:35:42 -0500,17,wake,Anolis carolinensis,17.52112293502978,brown,35.839517,-78.644919,0,52,12,summer excluded
103857940,2021-12-28 15:28:44 -0600,16,travis,Anolis carolinensis,23.65803468437453,green,30.4413416667,-97.6249383333,1,52,12,summer excluded
103870106,2021-12-27 12:25:49 -0500,12,fulton,Anolis carolinensis,22.09386068367259,brown,33.5534053415,-84.6430369841,0,52,12,summer excluded
103984405,2021-12-30 15:12:01 -0600,16,jefferson,Anolis carolinensis,24.31853007824307,brown,33.7501888889,-86.6898972222,0,52,12,summer excluded
104035683,2021-12-31 09:51:14 -0600,10,nueces,Anolis carolinensis,23.342931325042837,green,27.7624666667,-97.3949666667,1,53,12,summer excluded
104045723,2021-12-31 12:34:00 -0500,12,horry,Anolis carolinensis,22.671218589501738,brown,33.5635210541,-79.022107633,0,53,12,summer excluded
104090133,2021-09-16 13:12:02 -0500,14,dallas,Anolis carolinensis,31.658039652087094,brown,32.8503929722,-96.7107859722,0,37,9,summer excluded
104102770,2021-12-30 18:41:01 -0500,18,alachua,Anolis carolinensis,23.125576169221066,brown,29.71374399,-82.2549155032,0,52,12,summer excluded
104117628,2022-01-01 12:41:00 -0500,12,horry,Anolis carolinensis,23.42501758365782,brown,33.5810671902,-79.1163295301,0,1,1,summer excluded
104118047,2022-01-01 12:13:13 -0600,13,travis,Anolis carolinensis,25.605474156416463,brown,30.1620693206,-97.8124465942,0,1,1,summer excluded
104136171,2022-01-01 14:31:00 -0500,14,wake,Anolis carolinensis,21.446274126418952,brown,35.8231666667,-78.7299416667,0,1,1,summer excluded
10413915,2018-03-25 10:53:11 -0500,11,travis,Anolis carolinensis,27.25316684130994,green,30.51736974,-97.7004462956,1,12,3,summer excluded
10420737,2018-03-25 17:07:00 +1100,2,alachua,Anolis carolinensis,9.603773772952671,brown,29.7457771703,-82.2792331455,0,12,3,summer excluded
10420832,2018-03-25 11:10:00 -0400,11,orange,Anolis carolinensis,23.117361145012566,green,28.6219915197,-81.3759537041,1,12,3,summer excluded
10421032,2018-03-23 16:15:25 -0400,16,alachua,Anolis carolinensis,18.6044663294902,brown,29.6192581147,-82.3271330819,0,12,3,summer excluded
104322631,2022-01-02 12:44:00 -0600,13,travis,Anolis carolinensis,25.18177287766595,brown,30.4117869371,-97.6487396288,0,1,1,summer excluded
104322631,2022-01-02 12:44:00 -0600,13,travis,Anolis carolinensis,28.74157596918933,brown,30.4117869371,-97.6487396288,0,1,1,summer excluded
10433154,2018-03-25 11:38:00 -0400,11,miamidade,Anolis carolinensis,23.284605441681215,green,25.6997915,-80.4243893889,1,12,3,summer excluded
10436148,2018-02-27 17:54:16 -0600,18,bexar,Anolis carolinensis,20.03380953261637,brown,29.4600519369,-98.4844970415,0,9,2,summer excluded
104368593,2022-01-01 14:34:57 -0500,14,wake,Anolis carolinensis,21.446274126418952,brown,35.7679216667,-78.68045,0,1,1,summer excluded
10436912,2018-03-26 13:39:00 -0500,14,nueces,Anolis carolinensis,29.333866837137005,green,27.625562152,-97.2190864384,1,13,3,summer excluded
10442878,2018-03-11 16:06:52 -0500,17,harris,Anolis carolinensis,26.02577399381817,green,29.5940883333,-95.0857695,1,10,3,summer excluded
